10	0.28	
10	0.49	
10	0.51	
10	0.65	
10	0.5
20	3.08	
20	2.37	
20	2.59	
20	3.12	
20	2.48
30	9.11	
30	3.72	
30	6.27	
30	4.69	
30	3.92
40	17.52	
40	7.25	
40	8.04	
40	9.46	
40	8.58
50	9.1		
50	12.98	
50	9.57	
50	9.05	
50	10.73
60	10.4	
60	12.46	
60	11.68	
60	12.02	
60	11.49
70	33.28	
70	16.8	
70	20.05	
70	14.78	
70	15.87
80	17.5	
80	11.01	
80	17.65	
80	18.93	
80	33.24
90	15.97	
90	27.69	
90	24.58	
90	25.07	
90	51.65
100	30.14	
100	47.32	
100	29.72	
100	43.94	
100	31.27
110	41.89	
110 37.56	
110 31.07	
110 32.24	
110 36.8
120	55.04	
120	57.27	
120	44.28	
120	41.24	
120	42.62
130	56.01	
130	72.63	
130	65.43	
130	63.72	
130	71.61
140	92.48	
140	78.24	
140	98.52	
140	72.97	
140	76.9
150	117.84	
150	104.71	
150	116.27	
150	160.13	
150	99.45
160	188.87	
160	154.04	
160	146.86	
160	173.27	
160	144.85
170	244.48	
170	206.84	
170	242.47	
170	206.18	
170	236.9
170 1967.48
180	278.74
180	351.17
180	317.41
180	301.12
180 1821.70
